bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KOLKATA - 13:00 (DGP DEPOT) - 226,Non AC Seater (2+3),13:00,03h 30m,16:30,3.5,100,21 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 12:20 (BEL DEPOT) - 214,Non AC Seater (2+3),13:30,04h 00m,17:30,3.9,95,6 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - L/S - 12:35 (HOWRAH DEPOT) - 205,Non AC Seater (2+3),13:40,03h 30m,17:10,2.6,100,33 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 12:00 (BNK DEPOT) - 857,Non AC Seater (2+3),13:50,04h 00m,17:50,3.6,100,30 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - HABRA - VIA - DUNLOP - 14:05 (DGP DEPOT - 243,Non AC Seater (2+3),14:05,03h 30m,17:35,4.4,429,26 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 13:05 (ASANSOL DEPOT) - 141,Non AC Seater (2+3),14:15,03h 30m,17:45,2.7,429,11 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 13:00 (BNK DEPOT) - 240,Non AC Seater (2+3),14:55,04h 00m,18:55,3.6,429,39 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 13:55 (ASANSOL DEPOT) - 394,Non AC Seater (2+3),15:05,04h 00m,19:05,3.5,429,22 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 14:05 (HOWRAH DEPOT) - 748,Non AC Seater (2+3),15:15,03h 30m,18:45,3.3,429,18 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-DURGAPUR - KARUNAMOYEE - A/C - 15:30 (DGP DEPOT) - 1648,AC Seater (2+2),15:30,04h 30m,20:00,3.3,429,20 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - A/C - 14:20 (HWH DEPOT) - 1149,AC Seater (2+2),15:40,03h 30m,19:10,3.2,429,20 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - 14:15 (BNK DEPOT) - 241,Non AC Seater (2+3),16:00,04h 00m,20:00,3.9,429,32 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 15:05 (HWH DEPOT) - 210,Non AC Seater (2+3),16:15,03h 30m,19:45,3.4,429,29 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 15:10 (BEL DEPOT) - 216,Non AC Seater (2+3),16:20,04h 00m,20:20,3.1,429,23 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 15:35 (HOWRAH DEPOT) - 211,Non AC Seater (2+3),16:45,03h 30m,20:15,3.7,429,14 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-BANKURA - KARUNAMOYEE - A/C - 15:15 - 1500,AC Seater (2+2),17:00,04h 00m,21:00,2.2,429,28 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 16:10 (BEL DEPOT) - 217,Non AC Seater (2+3),17:25,04h 00m,21:25,3.7,95,51 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KOLKATA - 16:30 (HOWRAH DEPOT) - 752,Non AC Seater (2+3),17:40,03h 30m,21:10,3.5,95,49 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SBSTC-ASANSOL - KARUNAMOYEE - 16:40 (ASANSOL DEPOT) - 847,Non AC Seater (2+3),17:50,04h 10m,22:00,2.9,95,49 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,WBTC (CTC) Habra - Barasat - Durgapur - Asansol - 100|14:25,Non AC Seater (2+3),14:25,02h 35m,17:00,4.7,95,52 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),12:10,03h 40m,15:50,4.6,100,40 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),12:10,03h 40m,15:50,3.9,100,46 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),12:30,04h 00m,16:30,4.2,95,46 Seats available
Durgapur (West Bengal) (South Bengal)  to Kolkata Bus,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),12:30,04h 00m,16:30,4.3,200,27 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo AC Seater (2+2),12:15,02h 00m,14:15,4.3,100,41 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo AC Seater (2+2),12:15,02h 00m,14:15,3.8,95,51 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Greenline,Volvo A/C Seater (2+2),12:30,02h 35m,15:05,4.7,429,17 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),13:00,02h 15m,15:15,4.5,429,52 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Greenline (Karunamoyee),Volvo A/C Seater (2+2),13:00,02h 30m,15:30,3.6,429,17 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Greenline (Karunamoyee),Volvo A/C Seater (2+2),13:01,02h 29m,15:30,4.3,429,36 Seats available
Kolkata (South Bengal)  to Burdwan Bus,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line,Volvo A/C Seater (2+2),13:30,02h 10m,15:40,4.2,429,35 Seats available
